iyear,property,country,attacktype1,targtype1,weaptype1
1970,0,58,1,14,13
1970,0,130,6,7,13
1970,0,160,1,10,13
1970,1,78,3,7,6
1970,1,101,7,7,8
1970,1,217,2,3,5
1970,0,218,1,3,5
1970,1,217,3,21,6
1970,1,217,7,4,8
1970,1,217,7,2,8
1970,0,217,3,4,6
1970,1,217,7,4,8
1970,0,98,4,6,5
1970,1,217,7,2,8
1970,1,217,7,1,8
1970,0,499,3,2,6
1970,0,65,9,4,13
1970,1,217,3,8,6
1970,-9,217,3,1,6
1970,1,217,7,1,8
1970,1,217,7,3,8
1970,1,218,2,8,5
1970,1,217,3,8,6
1970,0,217,3,4,6
1970,1,217,7,22,8
1970,0,83,1,7,13
1970,1,160,3,7,6
1970,0,222,6,1,13
1970,1,217,3,14,6
1970,1,217,7,14,8
1970,1,217,2,3,5
1970,1,217,3,2,6
1970,0,217,2,3,5
1970,1,217,7,2,8
1970,1,499,7,3,8
1970,1,217,3,15,6
1970,1,217,3,20,6
1970,1,217,3,1,6
1970,1,217,7,4,8
1970,0,160,9,4,13
1970,1,217,3,3,6
1970,1,217,7,2,8
1970,1,217,2,3,5
1970,0,217,7,1,8
1970,0,217,7,1,8
1970,0,217,7,1,8
1970,1,217,3,14,6
1970,1,217,3,19,6
1970,1,217,3,2,6
1970,1,217,3,15,6
1970,-9,217,7,2,8
1970,-9,217,7,21,8
1970,-9,217,7,1,8
1970,1,217,7,4,8
1970,1,217,7,8,8
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,0,217,3,1,6
1970,1,217,3,14,6
1970,1,362,2,6,5
1970,1,217,7,8,8
1970,1,217,3,3,6
1970,1,362,7,14,8
1970,1,217,3,3,6
1970,1,217,3,1,6
1970,1,217,7,4,8
1970,1,217,3,3,6
1970,0,217,3,1,6
1970,0,217,3,1,6
1970,0,217,2,3,5
1970,0,217,3,1,6
1970,1,217,3,21,6
1970,1,217,3,8,6
1970,0,217,3,4,6
1970,1,217,3,3,6
1970,0,217,3,3,6
1970,1,217,7,2,8
1970,1,217,7,8,8
1970,1,217,3,8,6
1970,1,362,3,6,6
1970,1,199,3,6,6
1970,0,217,7,3,8
1970,1,217,7,4,8
1970,1,217,3,14,6
1970,-9,217,7,14,8
1970,1,217,7,8,8
1970,0,217,3,21,6
1970,0,217,3,21,6
1970,0,217,3,21,6
1970,0,217,3,21,6
1970,0,217,3,21,6
1970,1,217,3,4,6
1970,1,217,3,14,6
1970,1,217,7,4,8
1970,1,217,3,8,6
1970,1,102,2,18,5
1970,1,160,3,7,6
1970,1,98,3,6,6
1970,1,217,3,4,6
1970,1,217,7,4,8
1970,1,217,7,3,8
1970,1,217,3,3,6
1970,1,217,7,14,8
1970,0,185,6,2,13
1970,1,217,3,14,6
1970,1,217,3,2,6
1970,0,217,3,4,6
1970,0,217,3,19,6
1970,1,217,3,14,6
1970,1,217,3,2,6
1970,1,217,3,14,6
1970,0,217,1,4,5
1970,0,83,6,7,5
1970,0,217,3,3,6
1970,0,217,3,3,6
1970,1,217,7,8,8
1970,1,217,7,14,2
1970,1,217,7,15,8
1970,0,217,3,4,6
1970,1,217,3,20,6
1970,0,362,3,2,6
1970,1,217,3,2,6
1970,0,217,7,1,8
1970,0,30,6,7,13
1970,1,217,7,4,8
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,1,217,3,3,6
1970,1,217,3,3,6
1970,1,217,3,1,6
1970,1,217,7,4,8
1970,1,217,7,8,8
1970,0,65,6,10,13
1970,1,60,3,6,6
1970,0,217,3,4,6
1970,0,217,4,4,5
1970,1,217,3,1,6
1970,1,217,3,3,6
1970,1,217,7,2,8
1970,1,217,3,8,6
1970,1,217,3,21,6
1970,0,217,3,4,8
1970,0,217,1,14,5
1970,0,217,3,2,6
1970,1,217,7,1,8
1970,1,217,7,1,8
1970,1,217,3,1,6
1970,0,217,3,1,6
1970,1,217,3,1,6
1970,1,217,3,14,6
1970,0,160,9,4,13
1970,0,58,6,4,13
1970,0,11,6,7,13
1970,1,217,3,1,6
1970,1,217,3,14,6
1970,1,217,3,3,6
1970,1,217,3,3,6
1970,0,11,6,7,13
1970,1,110,3,7,6
1970,1,217,7,2,8
1970,-9,217,7,4,8
1970,0,83,6,7,13
1970,0,101,4,6,6
1970,0,217,3,2,6
1970,1,217,3,8,6
1970,0,65,6,7,13
1970,1,217,3,8,6
1970,1,217,7,8,8
1970,1,217,7,4,8
1970,0,160,9,4,13
1970,0,217,3,1,6
1970,1,96,2,1,5
1970,0,217,3,1,6
1970,0,217,3,14,6
1970,1,217,7,8,8
1970,0,30,6,7,13
1970,1,11,2,4,5
1970,1,217,3,21,6
1970,1,217,7,1,8
1970,0,217,3,12,6
1970,1,217,7,8,8
1970,1,217,3,1,6
1970,1,217,3,14,6
1970,1,217,7,8,8
1970,1,217,3,1,6
